,Date,Temp(F),Humidity,Hrs Daylight
0,2006-01-01,58.1,74.1,9.98
1,2006-01-02,68.1,70.3,9.98
2,2006-01-03,49.3,72.9,10.0
3,2006-01-04,53.8,66.9,10.02
4,2006-01-05,45.1,68.1,10.02
5,2006-01-06,36.8,63.3,10.03
6,2006-01-07,39.5,53.9,10.05
7,2006-01-08,56.3,49.8,10.07
8,2006-01-09,62.2,67.2,10.08
9,2006-01-10,62.1,71.4,10.1
10,2006-01-11,48.7,84.4,10.1
11,2006-01-12,52.6,71.8,10.13
12,2006-01-13,50.0,77.1,10.15
13,2006-01-14,37.3,58.5,10.17
14,2006-01-15,42.0,45.0,10.18
15,2006-01-16,55.2,72.2,10.2
16,2006-01-17,35.3,85.0,10.22
17,2006-01-18,43.1,57.3,10.23
18,2006-01-19,51.6,50.0,10.27
19,2006-01-20,53.6,74.8,10.28
20,2006-01-21,59.4,94.0,10.3
21,2006-01-22,62.6,83.0,10.33
22,2006-01-23,56.8,93.5,10.35
23,2006-01-24,50.0,65.5,10.38
24,2006-01-25,44.8,49.1,10.4
25,2006-01-26,43.0,46.2,10.43
26,2006-01-27,50.3,36.0,10.45
27,2006-01-28,56.5,46.9,10.48
28,2006-01-29,57.9,76.2,10.5
29,2006-01-30,51.0,72.2,10.53
30,2006-01-31,43.9,60.4,10.55
31,2006-02-01,49.9,51.0,10.58
32,2006-02-02,52.6,78.2,10.62
33,2006-02-03,52.4,87.2,10.65
34,2006-02-04,41.8,71.4,10.67
35,2006-02-05,36.1,55.9,10.7
36,2006-02-06,40.0,90.4,10.73
37,2006-02-07,38.0,64.3,10.77
38,2006-02-08,40.5,58.2,10.78
39,2006-02-09,38.3,59.2,10.82
40,2006-02-10,43.2,58.0,10.85
41,2006-02-11,38.9,79.8,10.88
42,2006-02-12,32.6,61.1,10.92
43,2006-02-13,34.0,54.1,10.95
44,2006-02-14,45.8,46.4,10.98
45,2006-02-15,56.6,44.9,11.0
46,2006-02-16,61.8,56.2,11.03
47,2006-02-17,51.3,74.8,11.07
48,2006-02-18,35.5,81.1,11.1
49,2006-02-19,31.9,62.7,11.13
50,2006-02-20,36.7,91.3,11.17
51,2006-02-21,45.5,84.7,11.2
52,2006-02-22,56.8,95.0,11.23
53,2006-02-23,50.9,80.5,11.27
54,2006-02-24,53.3,45.3,11.3
55,2006-02-25,50.5,84.9,11.33
56,2006-02-26,40.1,46.4,11.37
57,2006-02-27,46.5,40.9,11.4
58,2006-02-28,58.0,47.0,11.43
59,2006-03-01,64.2,60.0,11.47
60,2006-03-02,64.0,63.7,11.5
61,2006-03-03,48.2,49.9,11.53
62,2006-03-04,46.6,49.9,11.57
63,2006-03-05,55.2,38.8,11.62
64,2006-03-06,57.7,55.2,11.65
65,2006-03-07,50.8,49.0,11.68
66,2006-03-08,60.4,42.3,11.72
67,2006-03-09,60.7,75.0,11.75
68,2006-03-10,65.3,58.9,11.78
69,2006-03-11,70.5,78.8,11.82
70,2006-03-12,72.5,67.2,11.85
71,2006-03-13,69.8,77.8,11.88
72,2006-03-14,52.8,47.7,11.92
73,2006-03-15,46.0,62.0,11.95
74,2006-03-16,56.7,53.9,11.98
75,2006-03-17,57.5,71.8,12.03
76,2006-03-18,48.9,58.6,12.07
77,2006-03-19,45.6,82.1,12.1
78,2006-03-20,51.3,87.5,12.13
79,2006-03-21,56.0,76.1,12.17
80,2006-03-22,42.6,59.7,12.2
81,2006-03-23,44.0,56.5,12.23
82,2006-03-24,43.8,51.8,12.27
83,2006-03-25,42.6,53.6,12.3
84,2006-03-26,44.2,51.0,12.33
85,2006-03-27,54.5,35.7,12.37
86,2006-03-28,59.0,73.0,12.4
87,2006-03-29,57.6,57.5,12.45
88,2006-03-30,64.9,52.5,12.48
89,2006-03-31,68.0,63.7,12.52
90,2006-04-01,70.8,78.5,12.55
91,2006-04-02,71.9,72.4,12.58
92,2006-04-03,67.5,66.3,12.62
93,2006-04-04,56.5,48.8,12.65
94,2006-04-05,59.5,46.1,12.68
95,2006-04-06,66.8,48.8,12.72
96,2006-04-07,72.3,69.7,12.75
97,2006-04-08,58.5,79.6,12.78
98,2006-04-09,53.8,54.3,12.82
99,2006-04-10,61.7,45.0,12.85
100,2006-04-11,64.6,44.0,12.88
101,2006-04-12,67.8,53.0,12.92
102,2006-04-13,68.7,62.8,12.95
103,2006-04-14,73.0,57.1,12.98
104,2006-04-15,74.3,52.4,13.02
105,2006-04-16,73.5,64.1,13.05
106,2006-04-17,74.5,72.9,13.08
107,2006-04-18,78.3,61.8,13.12
108,2006-04-19,76.1,63.3,13.15
109,2006-04-20,70.2,81.5,13.18
110,2006-04-21,67.8,86.3,13.22
111,2006-04-22,66.2,78.0,13.25
112,2006-04-23,70.3,62.5,13.28
113,2006-04-24,73.0,61.5,13.32
114,2006-04-25,73.3,71.6,13.33
115,2006-04-26,67.3,85.8,13.37
116,2006-04-27,58.7,64.3,13.4
117,2006-04-28,63.8,52.0,13.43
118,2006-04-29,67.9,46.1,13.47
119,2006-04-30,59.2,75.3,13.48
120,2006-05-01,62.4,62.0,13.52
121,2006-05-02,69.6,69.5,13.55
122,2006-05-03,72.4,69.9,13.58
123,2006-05-04,70.5,77.1,13.6
124,2006-05-05,66.0,86.2,13.63
125,2006-05-06,65.8,72.4,13.67
126,2006-05-07,65.6,84.9,13.7
127,2006-05-08,65.4,77.3,13.72
128,2006-05-09,67.3,83.5,13.75
129,2006-05-10,65.4,88.9,13.77
130,2006-05-11,63.6,67.4,13.8
131,2006-05-12,62.3,52.2,13.82
132,2006-05-13,63.0,71.4,13.85
133,2006-05-14,66.6,56.2,13.87
134,2006-05-15,57.4,67.8,13.9
135,2006-05-16,59.9,71.6,13.92
136,2006-05-17,62.1,73.2,13.95
137,2006-05-18,69.7,54.3,13.97
138,2006-05-19,71.8,48.6,13.98
139,2006-05-20,80.8,47.5,14.02
140,2006-05-21,77.8,51.5,14.03
141,2006-05-22,76.3,62.5,14.05
142,2006-05-23,77.2,65.7,14.08
143,2006-05-24,78.8,61.1,14.1
144,2006-05-25,81.3,59.2,14.12
145,2006-05-26,82.0,60.1,14.13
146,2006-05-27,82.4,60.3,14.15
147,2006-05-28,82.0,60.4,14.17
148,2006-05-29,81.6,60.6,14.18
149,2006-05-30,81.5,63.4,14.2
150,2006-05-31,82.7,57.1,14.22
151,2006-06-01,76.0,67.8,14.23
152,2006-06-02,73.2,81.5,14.25
153,2006-06-03,70.9,70.1,14.27
154,2006-06-04,73.2,60.3,14.27
155,2006-06-05,71.9,54.8,14.28
156,2006-06-06,71.8,47.0,14.3
157,2006-06-07,76.0,46.4,14.3
158,2006-06-08,77.8,52.8,14.32
159,2006-06-09,76.9,54.3,14.33
160,2006-06-10,81.7,50.0,14.33
161,2006-06-11,83.7,50.1,14.35
162,2006-06-12,78.8,70.4,14.35
163,2006-06-13,74.1,71.8,14.35
164,2006-06-14,78.8,55.6,14.37
165,2006-06-15,80.7,43.8,14.37
166,2006-06-16,83.9,44.3,14.37
167,2006-06-17,82.4,51.0,14.37
168,2006-06-18,80.8,50.6,14.38
169,2006-06-19,81.5,56.8,14.38
170,2006-06-20,83.8,55.9,14.38
171,2006-06-21,86.3,49.2,14.38
172,2006-06-22,86.8,48.1,14.38
173,2006-06-23,78.3,74.3,14.38
174,2006-06-24,77.4,75.8,14.37
175,2006-06-25,78.9,68.9,14.37
176,2006-06-26,78.9,65.5,14.37
177,2006-06-27,78.8,57.0,14.37
178,2006-06-28,77.5,52.2,14.37
179,2006-06-29,79.4,50.9,14.35
180,2006-06-30,80.3,55.2,14.35
181,2006-07-01,84.2,50.0,14.33
182,2006-07-02,85.6,48.8,14.33
183,2006-07-03,84.8,53.2,14.32
184,2006-07-04,82.5,60.1,14.32
185,2006-07-05,80.8,67.6,14.3
186,2006-07-06,78.6,66.2,14.28
187,2006-07-07,77.2,56.9,14.28
188,2006-07-08,80.1,52.0,14.27
189,2006-07-09,79.9,64.4,14.25
190,2006-07-10,81.3,61.4,14.23
191,2006-07-11,84.2,50.9,14.23
192,2006-07-12,85.4,52.6,14.22
193,2006-07-13,86.8,54.0,14.2
194,2006-07-14,87.4,53.9,14.18
195,2006-07-15,84.6,61.0,14.17
196,2006-07-16,81.9,72.1,14.15
197,2006-07-17,86.0,59.4,14.13
198,2006-07-18,86.0,57.5,14.1
199,2006-07-19,84.0,61.4,14.08
200,2006-07-20,82.7,63.9,14.07
201,2006-07-21,85.3,57.2,14.05
202,2006-07-22,77.2,79.4,14.03
203,2006-07-23,77.0,75.5,14.0
204,2006-07-24,79.1,68.3,13.98
205,2006-07-25,83.4,59.2,13.97
206,2006-07-26,82.1,61.4,13.93
207,2006-07-27,85.0,59.8,13.92
208,2006-07-28,83.6,65.5,13.88
209,2006-07-29,77.5,77.7,13.87
210,2006-07-30,76.4,79.5,13.85
211,2006-07-31,81.4,69.5,13.82
212,2006-08-01,84.1,65.5,13.8
213,2006-08-02,85.6,61.8,13.77
214,2006-08-03,86.6,55.9,13.73
215,2006-08-04,85.1,54.3,13.72
216,2006-08-05,85.0,59.2,13.68
217,2006-08-06,85.0,58.5,13.67
218,2006-08-07,87.0,52.0,13.63
219,2006-08-08,87.9,51.2,13.6
220,2006-08-09,84.2,63.0,13.57
221,2006-08-10,81.3,74.0,13.55
222,2006-08-11,80.6,73.9,13.52
223,2006-08-12,77.5,83.5,13.48
224,2006-08-13,77.9,76.7,13.45
225,2006-08-14,82.6,67.4,13.43
226,2006-08-15,80.2,76.5,13.4
227,2006-08-16,78.6,74.7,13.37
228,2006-08-17,83.1,69.2,13.33
229,2006-08-18,83.2,58.6,13.3
230,2006-08-19,82.4,59.9,13.28
231,2006-08-20,83.3,63.2,13.25
232,2006-08-21,79.7,76.0,13.22
233,2006-08-22,79.5,77.5,13.18
234,2006-08-23,77.2,81.5,13.15
235,2006-08-24,80.0,65.0,13.12
236,2006-08-25,81.6,67.6,13.08
237,2006-08-26,83.3,66.3,13.05
238,2006-08-27,82.9,69.5,13.02
239,2006-08-28,85.4,62.3,12.98
240,2006-08-29,83.1,67.3,12.95
241,2006-08-30,79.5,72.8,12.92
242,2006-08-31,79.5,60.7,12.88
243,2006-09-01,78.4,62.4,12.85
244,2006-09-02,78.5,63.1,12.82
245,2006-09-03,78.8,59.7,12.78
246,2006-09-04,78.1,66.8,12.75
247,2006-09-05,73.3,75.4,12.72
248,2006-09-06,76.3,57.8,12.68
249,2006-09-07,75.0,67.5,12.65
250,2006-09-08,75.6,64.0,12.62
251,2006-09-09,77.6,63.2,12.58
252,2006-09-10,79.0,60.0,12.55
253,2006-09-11,79.5,55.7,12.52
254,2006-09-12,72.1,81.2,12.48
255,2006-09-13,72.6,78.1,12.45
256,2006-09-14,69.5,64.5,12.42
257,2006-09-15,71.8,61.0,12.38
258,2006-09-16,73.4,58.8,12.35
259,2006-09-17,76.8,57.2,12.32
260,2006-09-18,76.2,79.9,12.28
261,2006-09-19,71.9,69.7,12.25
262,2006-09-20,63.7,61.7,12.22
263,2006-09-21,68.3,49.8,12.18
264,2006-09-22,76.8,70.8,12.15
265,2006-09-23,80.2,73.2,12.12
266,2006-09-24,72.8,82.2,12.08
267,2006-09-25,65.8,68.6,12.03
268,2006-09-26,64.1,65.8,12.0
269,2006-09-27,68.7,60.8,11.97
270,2006-09-28,67.7,58.4,11.93
271,2006-09-29,59.1,62.3,11.9
272,2006-09-30,67.6,56.0,11.87
273,2006-10-01,74.6,69.5,11.83
274,2006-10-02,74.0,55.1,11.8
275,2006-10-03,73.5,62.7,11.77
276,2006-10-04,76.0,62.0,11.73
277,2006-10-05,71.0,78.6,11.7
278,2006-10-06,64.7,67.1,11.67
279,2006-10-07,61.5,60.3,11.63
280,2006-10-08,64.0,62.7,11.6
281,2006-10-09,67.2,68.0,11.57
282,2006-10-10,70.4,64.2,11.53
283,2006-10-11,72.8,60.0,11.5
284,2006-10-12,57.6,52.6,11.47
285,2006-10-13,53.5,45.5,11.43
286,2006-10-14,57.1,54.5,11.4
287,2006-10-15,60.1,38.1,11.37
288,2006-10-16,61.1,66.8,11.33
289,2006-10-17,70.8,88.8,11.3
290,2006-10-18,68.8,80.8,11.27
291,2006-10-19,68.7,86.9,11.23
292,2006-10-20,48.1,81.0,11.2
293,2006-10-21,55.5,60.0,11.17
294,2006-10-22,56.1,81.2,11.13
295,2006-10-23,46.5,61.7,11.1
296,2006-10-24,47.3,61.5,11.07
297,2006-10-25,50.4,52.7,11.03
298,2006-10-26,54.7,66.6,11.0
299,2006-10-27,61.2,84.2,10.97
300,2006-10-28,54.3,63.7,10.95
301,2006-10-29,55.7,62.5,10.92
302,2006-10-30,60.0,58.1,10.88
303,2006-10-31,62.0,65.6,10.85
304,2006-11-01,64.7,76.0,10.82
305,2006-11-02,46.4,65.5,10.78
306,2006-11-03,44.5,42.8,10.77
307,2006-11-04,49.7,36.5,10.73
308,2006-11-05,53.8,47.5,10.7
309,2006-11-06,60.7,60.0,10.67
310,2006-11-07,58.4,82.4,10.65
311,2006-11-08,55.8,76.2,10.62
312,2006-11-09,61.1,73.0,10.58
313,2006-11-10,64.8,70.0,10.57
314,2006-11-11,55.7,82.1,10.53
315,2006-11-12,47.3,64.5,10.5
316,2006-11-13,47.5,68.0,10.48
317,2006-11-14,54.5,69.4,10.45
318,2006-11-15,61.2,87.0,10.43
319,2006-11-16,45.5,81.3,10.4
320,2006-11-17,43.4,77.0,10.38
321,2006-11-18,49.6,64.2,10.35
322,2006-11-19,42.4,62.4,10.33
323,2006-11-20,39.2,61.0,10.32
324,2006-11-21,39.6,54.0,10.28
325,2006-11-22,46.0,51.3,10.27
326,2006-11-23,47.5,57.8,10.25
327,2006-11-24,52.3,57.6,10.22
328,2006-11-25,55.2,65.1,10.2
329,2006-11-26,54.3,54.0,10.18
330,2006-11-27,57.3,56.7,10.17
331,2006-11-28,64.1,79.3,10.15
332,2006-11-29,66.5,82.0,10.13
333,2006-11-30,70.0,77.5,10.12
334,2006-12-01,46.8,68.9,10.1
335,2006-12-02,41.2,58.3,10.08
336,2006-12-03,45.5,54.9,10.07
337,2006-12-04,31.6,48.2,10.05
338,2006-12-05,37.6,51.6,10.03
339,2006-12-06,47.3,41.7,10.03
340,2006-12-07,40.0,44.4,10.02
341,2006-12-08,27.0,42.3,10.0
342,2006-12-09,35.4,43.5,9.98
343,2006-12-10,44.0,45.1,9.98
344,2006-12-11,56.6,54.5,9.97
345,2006-12-12,61.1,70.6,9.97
346,2006-12-13,56.1,83.2,9.95
347,2006-12-14,51.2,72.4,9.95
348,2006-12-15,52.0,80.4,9.95
349,2006-12-16,53.6,69.6,9.93
350,2006-12-17,54.7,64.4,9.93
351,2006-12-18,58.6,69.1,9.93
352,2006-12-19,57.7,76.4,9.93
353,2006-12-20,59.3,66.2,9.93
354,2006-12-21,57.6,82.4,9.93
355,2006-12-22,58.5,92.0,9.93
356,2006-12-23,49.3,77.5,9.93
357,2006-12-24,49.2,68.4,9.93
358,2006-12-25,49.3,85.0,9.93
359,2006-12-26,38.8,80.5,9.93
360,2006-12-27,40.3,60.2,9.95
361,2006-12-28,47.7,55.6,9.95
362,2006-12-29,55.6,61.6,9.95
363,2006-12-30,59.7,79.5,9.97
364,2006-12-31,61.8,87.5,9.97
